tile,osm,lat,lon,name,name:en,name:ar,man_made,amenity,building,landuse,leisure,shop,tourism,healthcare,craft,office,power
1_1,node/3961395875,23.2221325,56.493521,معبر المشاه,,,,,,,,,,,,,
1_1,node/3961398607,23.2221076,56.4935937,معبر المشاه,,,,,,,,,,,,,
1_1,node/3961459706,23.2253079,56.4953729,معبر المشاه,,,,,,,,,,,,,
1_1,node/3961462669,23.2252877,56.4954591,معبر المشاه,,,,,,,,,,,,,
1_1,node/4021121839,23.2232004,56.4883898,الصفا,A'SSFA,,,,,,,,,,,,
1_1,node/4297925491,23.2074671,56.4871298,,,,,waste_disposal,,,,,,,,,
1_1,node/4297925525,23.2103784,56.4885188,,,,,waste_disposal,,,,,,,,,
1_1,node/4297925527,23.2080988,56.488281,مركز الهيال للتسوق,Al Hayal Shopping Center,,,,,,,supermarket,,,,,
1_1,node/4297926199,23.2086658,56.4887312,,,,,restaurant,,,,,,,,,
1_1,node/4297926207,23.2088748,56.4879795,,,,,waste_disposal,,,,,,,,,
1_1,node/4297926221,23.2095704,56.4873632,,,,,waste_disposal,,,,,,,,,
1_1,node/4297926223,23.2096891,56.4857318,,,,,waste_disposal,,,,,,,,,
1_1,node/4297926228,23.2099741,56.4884448,,,,,,,,,laundry,,,,,
1_1,node/4297926230,23.2103193,56.4865015,,,,,drinking_water,,,,,,,,,
1_1,node/4297941730,23.2100772,56.4884964,,,,,,,,,hairdresser,,,,,
1_1,node/4297968591,23.2075691,56.4850882,,,,,waste_disposal,,,,,,,,,
1_1,node/4297985096,23.2078565,56.4844176,,,,,waste_disposal,,,,,,,,,
1_1,node/4297985150,23.2101157,56.4885168,,,,,restaurant,,,,,,,,,
1_1,node/4298019599,23.2114177,56.489602,,,,,waste_disposal,,,,,,,,,
1_1,node/4298060290,23.2069753,56.4875792,,,,,restaurant,,,,,,,,,
1_1,node/4298060307,23.208752,56.4868035,,,,,waste_disposal,,,,,,,,,
1_1,node/4298062306,23.2107116,56.4871185,,,,,waste_disposal,,,,,,,,,
1_1,node/4298065189,23.2106657,56.4888833,,,,,,,,,hardware,,,,,
1_1,node/4367720895,23.2171227,56.4894645,رامز جروب العالمية عبرى,Ramez International Group Ibri,رامز جروب العالمية عبرى,,,,,,supermarket,,,,,
1_1,node/4367741993,23.216594,56.4942113,بنك مسقط,Muscat Bank,بنك مسقط,,bank,,,,,,,,,
1_1,node/4687503129,23.2110744,56.485736,,,,,parking_entrance,,,,,,,,,
1_1,node/4932182526,23.213626,56.4780344,حديقة حى النهضة - عبرى,"Hay Al Nahda Park, Ibri",حديقة حى النهضة - عبرى,,,,,,,attraction,,,,
1_1,node/4939754523,23.2141608,56.4771739,اسواق ومخبز مرجان مسقط,Morgan Muscat Bakery and Market,اسواق ومخبز مرجان مسقط,,,,,,supermarket,,,,,
1_1,node/4944468221,23.2067872,56.4811142,,Maged,,,,,,,bookmaker,,,,,
1_1,node/5222073225,23.2157377,56.4877262,مطعم اليحر...مطعم يمنى,New Al Yahar Yemeni Restaurant,,,restaurant,,,,,,,,,
1_1,node/5222074322,23.2155272,56.4869497,مذاق للدجاج المقلى,Tasty Fried Chicken,,,fast_food,,,,,,,,,
1_1,node/5357023022,23.2211839,56.4721965,منزل,,,,,,,,,,,,,
1_1,node/5971989148,23.2193623,56.454859,Main Gate,,,,,,,,,,,,,
1_1,node/6177051690,23.2163914,56.4592333,لولو هيبرماركت,Lulu Hypermarket,لولو هيبرماركت,,,,,,supermarket,,,,,
1_1,node/6263622085,23.2143403,56.4862581,منزل . ابراهيم حامد دعدير,,,,library,,,,,,,,,
1_1,node/6542162085,23.2198233,56.4680572,ibri home,,,,,,,,,apartment,,,,
1_1,node/7745916285,23.2230713,56.4690873,بيت مهند,mohanad home,منزل مهند البلوشي,,,,,,confectionery,,,,,
1_1,node/8512432819,23.2235526,56.4750029,منزل حمود الهنائي,,,,,,,,,attraction,,,,
1_1,node/8921547437,23.2295277,56.4594073,,,,,parking,,,,,,,,,
1_1,node/11704074170,23.2164212,56.4735296,رمال عبري الشقق الفندقية,Remal Ibri Hotel,رمال عبري الشقق الفندقية,,,,,,,hotel,,,,
1_1,node/13421262113,23.2166691,56.486827,Papa John's,,,,fast_food,,,,,,,,,
1_1,node/13421262116,23.2165674,56.4868303,دجاج كنتاكي,KFC,دجاج كنتاكي,,fast_food,,,,,,,,,
1_1,node/13421624001,23.217091,56.4797536,بنك الوطني العماني,National Bank of Oman,بنك الوطني العماني,,bank,,,,,,,,,
1_1,node/13421624004,23.2163586,56.4750729,,,,,,,,,convenience,,,,,
1_1,node/13421624005,23.2154992,56.486774,Waffle & Donut,Waffle & Donut,,,fast_food,,,,,,,,,
1_1,node/13421624006,23.2162437,56.4776503,,,,,,,,,hairdresser,,,,,
1_1,node/13421624007,23.2174015,56.4775607,لنك ظفار,Bank Dhofar,لنك ظفار,,bank,,,,,,,,,
1_1,node/13421624008,23.2155269,56.4870439,فاكه‍ة اامانجو,Mango Fruit,فاكه‍ة اامانجو,,fast_food,,,,,,,,,
1_1,node/13421624009,23.2158853,56.4802398,شاي الكسافر,,شاي الكسافر,,fast_food,,,,,,,,,
1_1,node/13421624010,23.2162408,56.477736,,Oman United Insurance Company Ibri Branch,,,,,,,,,,,insurance,
1_1,node/13421624011,23.2164083,56.4767082,,Top Touch,,,,,,,convenience,,,,,
1_1,node/13421624012,23.2165265,56.4753546,,,,,,,,,hairdresser,,,,,
1_1,node/13421624013,23.2162623,56.4761351,إثراء الفكر,,إثراء الفكر,,,,,,stationery,,,,,
1_1,node/13421624014,23.2163907,56.4769279,بيح الحلوى العمانية,Omani Halwa Sale,بيح الحلوى العمانية,,,,,,confectionery,,,,,
1_1,node/13421624016,23.21621,56.4790742,,,,,,,,,dry_cleaning,,,,,
1_1,node/13421624017,23.2158975,56.4807776,,,,,,,,,herbalist,,,,,
1_1,node/13421624018,23.215936,56.4805395,Seven Daisies,Seven Daisies,,,,,,,florist,,,,,
1_1,node/13421624019,23.2167699,56.4857732,,,,,,,,,tobacco,,,,,
1_1,node/13421624021,23.2162408,56.4775815,,,,,,,,,,,,,insurance,
1_1,node/13421624022,23.2165156,56.4754546,,,,,,,,,laundry,,,,,
1_1,node/13421624023,23.2167777,56.4857009,نظارات أضواء,,نظارات أضواء,,,,,,optician,,,,,
1_1,node/13421624024,23.2153752,56.4874014,جراند ه‍يبرماركت,Grand Hypermarket,جراند ه‍يبرماركت,,,,,,supermarket,,,,,
1_1,node/13421624025,23.2159062,56.4784637,أرابيان سنتر,Arabian Center,أرابيان سنتر,,,,,,variety_store,,,,,
1_1,node/13422233933,23.2164888,56.4733958,,,,,,,,,laundry,,,,,
1_1,node/13423311147,23.218713,56.4603846,Flock,,,,cafe,,,,,,,,,
1_1,node/13423311148,23.2169233,56.4599095,قندق أيلا عبىي,Ayla Ibri Hotel,,,,,,,,hotel,,,,
1_1,node/13423311149,23.2163057,56.4586069,ستار سينما,Star Cinema,ستار سينما,,cinema,,,,,,,,,
1_1,node/13423311150,23.216935,56.4585933,Deli Pizza,,,,fast_food,,,,,,,,,
1_1,node/13423311151,23.2165572,56.4597215,ماتّينا,Mattina,ماتّينا,,cafe,,,,,,,,,
1_1,node/13423311152,23.2170234,56.4595235,Paris Boutique,,,,,,,,jewelry,,,,,
1_1,node/13423311155,23.2165695,56.4590814,,,,,,,,,beauty,,,,,
1_1,node/13423311156,23.2165807,56.4594758,دكتور نيوترشن,Dr. Nutrition,دكتور نيوترشن,,,,,,nutrition_supplements,,,,,
1_1,node/13423311158,23.2166803,56.458572,تشيكينج,Chicking,تشيكينج,,fast_food,,,,,,,,,
1_1,node/13423311159,23.217039,56.4592102,أيلا,,أيلا,,cafe,,,,,,,,,
1_1,node/13423311161,23.2170591,56.4585909,ريمي,,,,restaurant,,,,,,,,,
1_1,node/13423311162,23.2168722,56.4590196,الصيدلية العلمية الجديدة,New Scientific Pharmacy,الصيدلية العلمية الجديدة,,pharmacy,,,,,,pharmacy,,,
1_1,node/13423407600,23.2182587,56.4667409,,,,,,,,,butcher,,,,,
1_1,node/13423449101,23.2170357,56.4590492,Pink Butterfly,Pink Butterfly,,,,,,,cosmetics,,,,,
1_1,node/13423449102,23.2171279,56.4590223,,,,,,,,,perfumery,,,,,
1_1,node/13423449103,23.2165539,56.4593058,جوهرة,,جوهرة,,,,,,jewelry,,,,,
1_1,node/13423449104,23.2183172,56.4670994,مكتب راشيد المحمري,,مكتب راشيد المحمري,,,,,,,,,,lawyer,
1_1,node/13423449105,23.2171211,56.4591136,النواحم,,,,,,,,bag,,,,,
1_1,node/13423449106,23.2178797,56.4707419,بن سلطان,,,,,,,,pastry,,,,,
1_1,node/13423449107,23.2165821,56.4710223,عيادة الطيب,Alteeb Clinic Traditional Indian Ayurvedic,,,doctors,,,,,,alternative,,,
1_1,node/13423449108,23.2182559,56.4673474,,Super Quality Hearing and Speech Therapy Centre,,,,,,,,,speech_therapist,,,
1_1,node/13423545055,23.2169104,56.4832026,الشهرة,,الشهرة,,,,,,confectionery,,,,,
1_1,node/13423545056,23.2170723,56.4800377,,,,,,,,,convenience,,,,,
1_1,node/13423545057,23.2168103,56.4855463,صندوق الحماية الاجتماعية,Social Protection Fund,صندوق الحماية الاجتماعية,,,,,,,,,,government,
1_1,node/13423545058,23.2163783,56.476465,MG Motor,,,,,,,,car,,,,,
1_1,node/13423545059,23.2167314,56.4847193,,,,,fast_food,,,,,,,,,
1_1,node/13423545060,23.2166984,56.4852124,,,,,,,,,laundry,,,,,
1_1,node/13423545061,23.2167711,56.4858345,,Oman Qatar Insurance Company,,,,,,,,,,,insurance,
1_1,node/13423545062,23.2169121,56.483627,جنتل وش,Genteel Wash,جنتل وش,,,,,,laundry,,,,,
1_1,node/13423545063,23.2169117,56.483522,,,,,fast_food,,,,,,,,,
1_1,node/13423675436,23.2171967,56.4903769,مكه هيبرماركت,Makkah Hypermarket,مكه هيبرماركت,,,,,,supermarket,,,,,
1_1,node/13423675438,23.2170607,56.4907491,,,,,fast_food,,,,,,,,,
1_1,node/13423675439,23.2170873,56.4902959,تيم زون,Time Zone,تيم زون,,,,,,watches,,,,,
1_1,node/13423675441,23.2171046,56.48927,,,,,bureau_de_change,,,,,,,,,
1_1,node/13423675442,23.2166296,56.4876739,موسى عبد الرحمن حسن وشركاه,Moosa Abdul Rahman Hassan & Company,موسى عبد الرحمن حسن وشركاه,,,,,,car,,,,,
1_1,node/13423675443,23.2170938,56.4904698,جوي الوكاس,,جوي الوكاس,,bureau_de_change,,,,,,,,,
1_1,node/13423675444,23.2166271,56.4879486,,,,,fast_food,,,,,,,,,
1_1,node/13423675445,23.2171085,56.4897089,النجوم السبع للسفر,Seven Stars Travel,النجوم السبع للسفر,,,,,,,,,,travel_agent,
1_1,node/13423687032,23.2156947,56.4878304,الليث,Al Laith Pastries & Sweets,الليث,,,,,,pastry,,,,,
1_1,node/13423687034,23.2156888,56.4879701,برتقال العصاىٔر,Burthukal Juices,برتقال العصاىٔر,,fast_food,,,,,,,,,
1_1,node/13423687035,23.2159637,56.4913983,,,,,bureau_de_change,,,,,,,,,
1_1,node/13423687036,23.2159753,56.4914345,نظارات العيسى,نظارات العيسى,نظارات العيسى,,,,,,optician,,,,,
1_1,node/13423687037,23.2159742,56.4913117,المركز الوطني التصوير,National Photo Centre,المركز الوطني التصوير,,,,,,photo,,,,,
1_1,node/13423687041,23.2160083,56.4915083,بني شيبان,,بني شيبان,,,,,,appliance,,,,,
1_1,node/13423687043,23.2154627,56.4906493,,,,mast,,,,,,,,,,
1_1,node/13423687044,23.2157635,56.4899236,نور الخليج,,,,fast_food,,,,,,,,,
1_1,node/13426507412,23.2155456,56.4871824,ربوع اليمن السعيد,,ربوع اليمن السعيد,,restaurant,,,,,,,,,
1_1,node/13426507413,23.2155629,56.4865071,مطعم الصحن الطازج,Bowl Fresh Restaurant,مطعم الصحن الطازج,,restaurant,,,,,,,,,
1_1,node/13426637463,23.2165679,56.4937245,الحشار سيارات,Al Hashar Automotive,الحشار سيارات,,,,,,car,,,,,
1_1,node/13426637465,23.2179156,56.4940932,عيادة بديع الأسنان,Badi Dental Clinic,عيادة بديع الأسنان,,dentist,,,,,,dentist,,,
1_1,node/13426637466,23.2179743,56.494634,مركز الريالين,Two Rials,مركز الريالين,,,,,,variety_store,,,,,
1_1,node/13426679074,23.2171262,56.4904162,,,,,atm,,,,,,,,,
1_1,node/13426679075,23.2170903,56.4904279,مكه,Makkah Gold & Diamonds,مكه,,,,,,jewelry,,,,,
1_1,node/13649026201,23.2165556,56.4934767,عمانتل,Omantel,,,,,,,telecommunication,,,,,
1_1,node/13944842895,23.2126029,56.4910787,صيدلية الهدى - فرع الشعبية,Al-huad Pharmacy,صيدلية الهدى - فرع الشعبية,,pharmacy,,,,,,pharmacy,,,
1_1,node/13944874342,23.2193295,56.4925754,صيدلية الحاجر - عبري,Al Hajir Pharmacy - Ibri,صيدلية الحاجر - عبري,,pharmacy,,,,,,pharmacy,,,
1_1,node/13944874343,23.2169019,56.495283,صيدلية الهدى,Al-huad Pharmacy,صيدلية الهدى,,pharmacy,,,,,,pharmacy,,,
1_1,node/13944889950,23.2161851,56.4921846,صيدلية أفيسن- فرع عبري,Avicen Pharmacy - Ibri branch,صيدلية أفيسن- فرع عبري,,pharmacy,,,,,,pharmacy,,,
1_1,node/13944904422,23.2062954,56.4871013,صيدلية سلطان,Sultan Pharmacy,صيدلية سلطان,,pharmacy,,,,,,pharmacy,,,
1_1,node/14041090282,23.2178637,56.4711134,تي كلود,Tea Cloud,تي كلود,,cafe,,,,,,,,,
1_1,way/55384998,23.2241032,56.4493016,طريق السلطان ثويني بن سعيد,Sultan Thuwaini bin Said Road,طريق السلطان ثويني بن سعيد,,,,,,,,,,,
1_1,way/55384999,23.2168779,56.4775812,طريق السلطان ثويني بن سعيد,Sultan Thuwaini bin Said Road,طريق السلطان ثويني بن سعيد,,,,,,,,,,,
1_1,way/55385006,23.2173033,56.4643014,طريق الشرية,Al Shariah Road,طريق الشرية,,,,,,,,,,,
1_1,way/55385007,23.2172969,56.4644427,طريق الشرية,Al Shariah Road,طريق الشرية,,,,,,,,,,,
1_1,way/115797297,23.237632,56.4891728,Ibri,,,,,,,,,,,,,substation
1_1,way/137104579,23.2238016,56.4490912,طريق السلطان ثويني بن سعيد,Sultan Thuwaini bin Said Road,طريق السلطان ثويني بن سعيد,,,,,,,,,,,
1_1,way/140474947,23.2170965,56.4776075,طريق السلطان ثويني بن سعيد,Sultan Thuwaini bin Said Road,طريق السلطان ثويني بن سعيد,,,,,,,,,,,
1_1,way/140474948,23.2171436,56.5030109,طريق السلطان ثويني بن سعيد,Sultan Thuwaini bin Said Road,طريق السلطان ثويني بن سعيد,,,,,,,,,,,
1_1,way/140474951,23.2159729,56.4909835,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
1_1,way/140474952,23.2159051,56.4908436,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
1_1,way/140474956,23.22656,56.4967125,طريق عبري,Ibri Road,طريق عبري,,,,,,,,,,,
1_1,way/140474957,23.2263835,56.4967932,طريق عبري,Ibri Road,طريق عبري,,,,,,,,,,,
1_1,way/160286227,23.217321,56.5030007,طريق السلطان ثويني بن سعيد,Sultan Thuwaini bin Said Road,طريق السلطان ثويني بن سعيد,,,,,,,,,,,
1_1,way/209263845,23.2172946,56.4927881,طريق عبري,Ibri Road,طريق عبري,,,,,,,,,,,
1_1,way/222831810,23.2300858,56.4324133,نفط عمان,Oman Oil,,,fuel,yes,,,,,,,,
1_1,way/243450130,23.1909073,56.4803479,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
1_1,way/310728531,23.2071842,56.4789856,مدرسة خضراء عبري للتعليم الأساسي,,,,school,,,,,,,,,
1_1,way/310729523,23.2049089,56.4785523,مركز الوفاء لتأهيل الأطفال المعاقين,,,,school,,,,,,,,,
1_1,way/310755965,23.213135,56.4836726,مركز شرطة عبري,Ibri police Station,,,police,,,,,,,,,
1_1,way/310756650,23.2109966,56.4855759,الدفاع المدني,Civil defense,,,,,,,,,,,,
1_1,way/314697626,23.2213394,56.4556305,جامعة التقنية والعلوم التطبيقية بعبري -حرم الاخضر,University of Applied Sciences Ibri Al Akhdar Campus,جامعة التقنية والعلوم التطبيقية بعبري -حرم الاخضر,,college,,,,,,,,,
1_1,way/314705741,23.2195447,56.4573517,مركز الأخضر الصحي,Al Akhdar Health Center,,,doctors,,,,,,,,,
1_1,way/314708231,23.2190571,56.4588055,المديرية العامة للتربية والتعليم,Directorate-General for Education,,,,yes,,,,,,,government,
1_1,way/314888207,23.2136436,56.4780538,,,,,,,,playground,,,,,,
1_1,way/314902175,23.2174982,56.4805913,شانجان أوتو,Changan Auto,,,,yes,,,car,,,,,
1_1,way/314902640,23.2175949,56.4844109,المدرسة الهندية,Indian School Ibri,,,school,,,,,,,,,
1_1,way/314904341,23.2171021,56.4883331,سعود بهوان للسيارات,Saud Bahwan Automotive,سعود بهوان للسيارات,,,retail,,,car,,,,,
1_1,way/314908437,23.2163036,56.491473,,,,,parking,,,,,,,,,
1_1,way/314946300,23.1878874,56.4752508,Shell,,شل,,fuel,yes,,,,,,,,
1_1,way/319556796,23.2214379,56.4464427,غرفة تجارة وصناعة عمان,chamber of commerce and industry oman,,,,yes,,,,,,,,
1_1,way/319565684,23.2211193,56.4469542,المديريـــة العامــة للقـــوى العاملــة,Directorate General Of Manpower,,,,yes,,,,,,,,
1_1,way/324685682,23.2223754,56.4929945,مكه هايبرماركت,makkahhyper,,,,yes,,,supermarket,,,,,
1_1,way/324881794,23.2273796,56.4959218,مقسم أتصالات,PBX connections,,,,yes,,,,,,,,
1_1,way/344576199,23.2329913,56.4966281,صناعية عبري,,,,,,industrial,,,,,,,
1_1,way/344578913,23.2353746,56.494664,,,,,parking,,,,,,,,,
1_1,way/344578990,23.237332,56.4941521,,,,,parking,,,,,,,,,
1_1,way/366931920,23.1868406,56.4417287,Apron 2,,,,,,,,,,,,,
1_1,way/366932905,23.1869895,56.4333257,مطار عبري,Ibri Airport,مطار عبري,,,,,,,,,,,
1_1,way/366934573,23.1942824,56.4333257,,,,,,,military,,,,,,,
1_1,way/369329505,23.2360194,56.4974122,مقبرة,,,,,,cemetery,,,,,,,
1_1,way/369334251,23.2367574,56.4936166,سوق السمك,,,,,yes,,,seafood,,,,,
1_1,way/369916029,23.2166381,56.4922273,,,,,,,,garden,,,,,,
1_1,way/369916294,23.2167105,56.4924692,,,,,,,,garden,,,,,,
1_1,way/372571452,23.2165341,56.4895698,,,,,parking,,,,,,,,,
1_1,way/372571599,23.2163866,56.4883491,,,,,parking,,,,,,,,,
1_1,way/372573409,23.214862,56.491059,,,,,parking,,,,,,,,,
1_1,way/372573493,23.2151271,56.4904091,,,,,parking,,,,,,,,,
1_1,way/372573975,23.2154338,56.4913897,,,,,parking,,,,,,,,,
1_1,way/372575756,23.2155496,56.492144,مكتب المحافط,,,,,yes,,,,,,,government,
1_1,way/372584431,23.2152896,56.4917546,,,,,parking,,,,,,,,,
1_1,way/372600876,23.2147701,56.491918,,,,,,yes,,,,,,,,substation
1_1,way/372643497,23.2144292,56.4908235,مكتب الوالي,,,,,yes,,,,,,,government,
1_1,way/372649817,23.2145807,56.4902465,وزارة الأوقاف والشؤون الدينية,,,,,yes,,,,,,,,
1_1,way/372650958,23.2147659,56.4897931,جمعية المرأة العمانية,,,,,yes,,,,,,,,
1_1,way/384906232,23.2370346,56.4883471,,,,,,,,,,,,,,substation
1_1,way/384906233,23.2362519,56.4892269,,,,,,,,,,,,,,substation
1_1,way/396376850,23.2080308,56.4882714,Alshaabiyah shopping center مركز الشعبية للتسوق,,,,,commercial,,,,,,,,
1_1,way/420009922,23.2507984,56.4748075,طريق عبري-سيح المسرات,Ibri-Saih Al Masarrat Road,طريق عبري-سيح المسرات,,,,,,,,,,,
1_1,way/430540832,23.2094723,56.4862605,,,,,,,,,,,,,,substation
1_1,way/430540833,23.208998,56.4850841,,,,,,,,,,,,,,substation
1_1,way/430541491,23.2085301,56.4866517,مجلس الشعبية العام,,,,,yes,,,,,,,,
1_1,way/430541492,23.2086075,56.4872464,مسجد الشعبية,,,,place_of_worship,yes,,,,,,,,
1_1,way/442482839,23.2156997,56.4910896,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
