FEATUREID,PKG,TIER,props_up,len_up_m,qadf_m3d,pf,qpk_ls,od_built_mm,dn_our_rules,slope_built_pct,slope_req_pct,slope_ratio,dod_built,v_built_ms,surcharged,dod_limit,over_dod,under_self_cleansing,over_vmax,depth_ds_m
L012184,5A-5,lateral,0.0,228.5,0.16,3.57,0.01,160,200,0.415,0.5,0.83,0.023,0.067,0,0.65,0,1,0,2.300000000000011
L012179,5A-5,lateral,0.0,88.9,0.06,3.57,0.0,160,200,0.624,0.5,1.25,0.014,0.054,0,0.65,0,1,0,2.25
L012180,5A-5,lateral,0.0,113.1,0.08,3.57,0.0,160,200,0.473,0.5,0.95,0.016,0.054,0,0.65,0,1,0,1.769999999999982
L012181,5A-5,lateral,0.0,85.6,0.06,3.57,0.0,160,200,0.634,0.5,1.27,0.014,0.053,0,0.65,0,1,0,1.579999999999984
L012182,5A-5,lateral,0.0,61.9,0.04,3.57,0.0,160,200,0.587,0.5,1.17,0.012,0.046,0,0.65,0,1,0,1.589999999999975
L011867,5A-5,sub_main,154.0,3687.8,134.56,3.38,5.26,160,200,0.501,0.5,1.0,0.486,0.612,0,0.65,0,1,0,4.850000000000023
L011866,5A-5,sub_main,154.0,3651.9,134.53,3.38,5.26,160,200,0.5,0.5,1.0,0.487,0.611,0,0.65,0,1,0,4.849999999999966
L011865,5A-5,sub_main,154.0,3615.9,134.5,3.38,5.26,160,200,0.504,0.5,1.01,0.486,0.613,0,0.65,0,1,0,4.639999999999986
L012407,5A-5,lateral,23.0,247.5,19.88,3.57,0.82,160,200,0.599,0.5,1.2,0.178,0.382,0,0.65,0,1,0,2.389999999999986
L012376,5A-5,lateral,37.0,852.9,32.3,3.57,1.33,160,200,0.378,0.5,0.76,0.253,0.376,0,0.65,0,1,0,2.641999999999996
L012403,5A-5,lateral,30.0,368.0,25.96,3.57,1.07,160,200,0.606,0.5,1.21,0.202,0.416,0,0.65,0,1,0,2.59699999999998
L011868,5A-5,sub_main,154.0,3725.7,134.58,3.38,5.26,160,200,0.501,0.5,1.0,0.486,0.612,0,0.65,0,1,0,4.889999999999986
L012398,5A-5,lateral,5.0,157.5,4.4,3.57,0.18,160,200,1.398,0.5,2.8,0.072,0.317,0,0.65,0,1,0,0.796999999999969
L012404,5A-5,lateral,30.0,340.0,25.94,3.57,1.07,160,200,0.6,0.5,1.2,0.203,0.414,0,0.65,0,1,0,3.139999999999986
L012378,5A-5,lateral,37.0,821.7,32.28,3.57,1.33,160,200,0.381,0.5,0.76,0.253,0.377,0,0.65,0,1,0,2.73399999999998
L012405,5A-5,lateral,28.0,313.3,24.21,3.57,1.0,160,200,0.604,0.5,1.21,0.196,0.407,0,0.65,0,1,0,3.060000000000002
L012399,5A-5,lateral,5.0,133.2,4.38,3.57,0.18,160,200,1.396,0.5,2.79,0.072,0.316,0,0.65,0,1,0,1.310000000000002
L012406,5A-5,lateral,24.0,285.1,20.76,3.57,0.86,160,200,0.584,0.5,1.17,0.183,0.383,0,0.65,0,1,0,2.70999999999998
L012377,5A-5,lateral,37.0,788.1,32.26,3.57,1.33,160,200,0.38,0.5,0.76,0.253,0.376,0,0.65,0,1,0,3.975999999999999
L012372,5A-5,lateral,13.0,180.3,11.26,3.57,0.47,160,200,0.502,0.5,1.0,0.142,0.301,0,0.65,0,1,0,4.310000000000002
L012365,5A-5,lateral,5.0,105.0,4.36,3.57,0.18,160,200,0.528,0.5,1.06,0.09,0.226,0,0.65,0,1,0,2.899999999999977
L012373,5A-5,lateral,9.0,150.4,7.82,3.57,0.32,160,200,0.51,0.5,1.02,0.119,0.269,0,0.65,0,1,0,4.75
L011939,5A-5,lateral,3.0,78.4,2.63,3.57,0.11,160,200,0.505,0.5,1.01,0.072,0.188,0,0.65,0,1,0,2.840000000000032
L011937,5A-5,lateral,2.0,26.7,1.73,3.57,0.07,160,200,0.599,0.5,1.2,0.058,0.174,0,0.65,0,1,0,2.620000000000005
L011938,5A-5,lateral,0.0,26.0,0.02,3.57,0.0,160,200,2.038,0.5,4.08,0.007,0.048,0,0.65,0,1,0,2.720000000000027
L012374,5A-5,lateral,7.0,121.0,6.08,3.57,0.25,160,200,0.485,0.5,0.97,0.107,0.244,0,0.65,0,1,0,4.340000000000032
L012214,5A-5,lateral,7.0,88.1,6.06,3.57,0.25,160,200,0.509,0.5,1.02,0.106,0.248,0,0.65,0,1,0,2.339999999999975
L012215,5A-5,lateral,2.0,28.6,1.73,3.57,0.07,160,200,0.595,0.5,1.19,0.058,0.174,0,0.65,0,1,0,1.870000000000005
L012375,5A-5,lateral,4.0,26.1,3.44,3.57,0.14,160,200,1.687,0.5,3.37,0.062,0.311,0,0.65,0,1,0,1.96999999999997
L011864,5A-5,sub_main,154.0,3578.2,134.48,3.38,5.26,160,200,0.505,0.5,1.01,0.485,0.614,0,0.65,0,1,0,4.669999999999959
L012408,5A-5,lateral,20.0,214.0,17.28,3.57,0.71,160,200,0.587,0.5,1.17,0.168,0.363,0,0.65,0,1,0,1.560000000000002
L012409,5A-5,lateral,17.0,181.7,14.69,3.57,0.61,160,200,0.62,0.5,1.24,0.153,0.352,0,0.65,0,1,0,1.370000000000005
L011863,5A-5,sub_main,154.0,3538.6,134.45,3.38,5.26,160,200,0.498,0.5,1.0,0.487,0.61,0,0.65,0,1,0,4.519999999999982
L012410,5A-5,lateral,13.0,152.7,11.24,3.57,0.46,160,200,0.577,0.5,1.15,0.137,0.315,0,0.65,0,1,0,1.449999999999989
L011862,5A-5,sub_main,154.0,3498.4,134.42,3.38,5.26,160,200,0.498,0.5,1.0,0.487,0.61,0,0.65,0,1,0,4.259999999999991
L011859,5A-5,sub_main,96.0,2192.5,83.8,3.57,3.46,160,200,2.101,0.5,4.2,0.265,0.917,0,0.65,0,0,0,4.96999999999997
L011860,5A-5,sub_main,154.0,3430.9,134.37,3.38,5.25,160,200,0.503,0.5,1.01,0.485,0.613,0,0.65,0,1,0,4.620000000000005
L011861,5A-5,sub_main,154.0,3460.2,134.39,3.38,5.26,160,200,0.443,0.5,0.89,0.504,0.584,0,0.65,0,1,0,3.740000000000009
L012411,5A-5,lateral,11.0,123.2,9.51,3.57,0.39,160,200,0.606,0.5,1.21,0.125,0.304,0,0.65,0,1,0,1.370000000000005
L012400,5A-5,lateral,4.0,90.1,3.49,3.57,0.14,160,200,1.396,0.5,2.79,0.065,0.293,0,0.65,0,1,0,2.088999999999999
L012379,5A-5,lateral,37.0,750.2,32.23,3.57,1.33,160,200,0.379,0.5,0.76,0.253,0.376,0,0.65,0,1,0,4.572000000000003
L011908,5A-5,lateral,2.0,56.6,1.75,3.57,0.07,160,200,1.399,0.5,2.8,0.048,0.233,0,0.65,0,1,0,1.240999999999985
L012380,5A-5,lateral,37.0,718.8,32.21,3.57,1.33,160,200,0.381,0.5,0.76,0.253,0.376,0,0.65,0,1,0,3.883000000000038
L012401,5A-5,lateral,1.0,26.9,0.88,3.57,0.04,160,200,1.395,0.5,2.79,0.035,0.183,0,0.65,0,1,0,0.995000000000005
L012381,5A-5,lateral,37.0,666.6,32.17,3.57,1.33,160,200,0.38,0.5,0.76,0.253,0.376,0,0.65,0,1,0,1.23399999999998
L012382,5A-5,lateral,36.0,638.4,31.29,3.57,1.29,160,200,0.381,0.5,0.76,0.249,0.373,0,0.65,0,1,0,1.176999999999964
L012383,5A-5,lateral,32.0,610.6,27.85,3.57,1.15,160,200,0.38,0.5,0.76,0.235,0.36,0,0.65,0,1,0,2.520999999999958
L012384,5A-5,lateral,29.0,575.4,25.25,3.57,1.04,160,200,0.38,0.5,0.76,0.224,0.35,0,0.65,0,1,0,3.847000000000037
L012385,5A-5,lateral,24.0,543.8,20.95,3.57,0.86,160,200,0.378,0.5,0.76,0.205,0.33,0,0.65,0,1,0,3.347000000000037
L012014,5A-5,sub_main,24.0,478.0,20.9,3.57,0.86,160,200,4.58,0.5,9.16,0.112,0.786,0,0.65,0,0,0,4.819999999999993
L012013,5A-5,sub_main,61.0,1291.7,53.18,3.57,2.2,160,200,0.399,0.5,0.8,0.322,0.443,0,0.65,0,1,0,4.710000000000036
L012012,5A-5,sub_main,61.0,1330.5,53.2,3.57,2.2,160,200,0.516,0.5,1.03,0.301,0.486,0,0.65,0,1,0,4.70999999999998
L012011,5A-5,sub_main,61.0,1359.4,53.23,3.57,2.2,160,200,0.485,0.5,0.97,0.306,0.476,0,0.65,0,1,0,4.579999999999984
L012010,5A-5,sub_main,64.0,1398.9,55.82,3.57,2.31,160,200,0.505,0.5,1.01,0.31,0.489,0,0.65,0,1,0,5.189999999999998
L012009,5A-5,sub_main,95.0,2110.2,82.89,3.57,3.42,160,200,0.5,0.5,1.0,0.383,0.545,0,0.65,0,1,0,5.600000000000023
L011857,5A-5,sub_main,95.0,2151.0,82.92,3.57,3.42,160,200,0.517,0.5,1.03,0.38,0.552,0,0.65,0,1,0,4.730000000000018
L012008,5A-5,sub_main,95.0,2131.7,82.9,3.57,3.42,160,200,0.511,0.5,1.02,0.381,0.55,0,0.65,0,1,0,4.75
L011858,5A-5,sub_main,95.0,2172.5,82.93,3.57,3.42,160,200,0.466,0.5,0.93,0.391,0.532,0,0.65,0,1,0,4.629999999999995
L012432,5A-5,lateral,36.0,788.7,31.4,3.57,1.3,160,200,0.596,0.5,1.19,0.223,0.438,0,0.65,0,1,0,4.699999999999989
L011949,5A-5,lateral,0.0,38.2,0.03,3.57,0.0,160,200,1.485,0.5,2.97,0.008,0.051,0,0.65,0,1,0,1.408000000000015
L011917,5A-5,lateral,37.0,693.1,32.19,3.57,1.33,160,200,0.381,0.5,0.76,0.253,0.376,0,0.65,0,1,0,4.004999999999995
L011960,5A-5,lateral,0.0,27.0,0.02,3.57,0.0,160,200,0.601,0.5,1.2,0.009,0.033,0,0.65,0,1,0,1.131999999999948
L012729,5A-5,lateral,0.0,54.5,0.04,3.57,0.0,160,200,0.603,0.5,1.21,0.011,0.044,0,0.65,0,1,0,1.287999999999954
L012731,5A-5,lateral,0.0,80.0,0.06,3.57,0.0,160,200,0.599,0.5,1.2,0.013,0.051,0,0.65,0,1,0,1.480999999999995
L012730,5A-5,lateral,1.0,103.1,0.93,3.57,0.04,160,200,0.603,0.5,1.21,0.044,0.141,0,0.65,0,1,0,1.370000000000005
L011961,5A-5,lateral,6.0,144.8,5.24,3.57,0.22,160,200,1.002,0.5,2.0,0.085,0.299,0,0.65,0,1,0,1.470000000000027
L011964,5A-5,lateral,7.0,279.3,6.2,3.57,0.26,160,200,0.5,0.5,1.0,0.108,0.248,0,0.65,0,1,0,2.117000000000019
L012734,5A-5,lateral,5.0,117.8,4.37,3.57,0.18,160,200,1.003,0.5,2.01,0.078,0.282,0,0.65,0,1,0,1.96999999999997
L012728,5A-5,lateral,1.0,19.3,0.87,3.57,0.04,160,200,0.57,0.5,1.14,0.043,0.135,0,0.65,0,1,0,1.180000000000007
L012412,5A-5,lateral,6.0,90.1,5.2,3.57,0.21,160,200,1.695,0.5,3.39,0.075,0.357,0,0.65,0,1,0,1.0
L012420,5A-5,lateral,58.0,1208.6,50.55,3.57,2.09,160,200,0.595,0.5,1.19,0.283,0.504,0,0.65,0,1,0,4.870000000000005
L011907,5A-5,lateral,4.0,64.2,3.47,3.57,0.14,160,200,0.602,0.5,1.2,0.079,0.219,0,0.65,0,1,0,0.939999999999998
L012413,5A-5,lateral,3.0,37.6,2.6,3.57,0.11,160,200,0.611,0.5,1.22,0.069,0.2,0,0.65,0,1,0,1.939999999999998
L011916,5A-5,lateral,57.0,1174.1,49.67,3.57,2.05,160,200,0.596,0.5,1.19,0.28,0.502,0,0.65,0,1,0,4.05499999999995
L011910,5A-5,lateral,9.0,25.1,7.73,3.57,0.32,160,200,0.566,0.5,1.13,0.116,0.278,0,0.65,0,1,0,1.262
L012414,5A-5,lateral,16.0,49.5,13.74,3.57,0.57,160,200,0.566,0.5,1.13,0.152,0.334,0,0.65,0,1,0,1.490000000000009
L011915,5A-5,lateral,55.0,1135.7,47.93,3.57,1.98,160,200,0.596,0.5,1.19,0.275,0.497,0,0.65,0,1,0,3.755999999999972
L012415,5A-5,lateral,16.0,79.5,13.76,3.57,0.57,160,200,0.564,0.5,1.13,0.152,0.333,0,0.65,0,1,0,1.769000000000005
L012416,5A-5,lateral,16.0,105.3,13.78,3.57,0.57,160,200,0.565,0.5,1.13,0.152,0.334,0,0.65,0,1,0,2.045000000000016
L012443,5A-5,lateral,4.0,310.6,3.65,3.57,0.15,160,200,0.6,0.5,1.2,0.081,0.223,0,0.65,0,1,0,2.330000000000041
L012444,5A-5,lateral,3.0,279.6,2.77,3.57,0.11,160,200,0.597,0.5,1.19,0.071,0.203,0,0.65,0,1,0,2.084000000000003
L012738,5A-5,lateral,2.0,138.6,1.81,3.57,0.07,160,200,0.564,0.5,1.13,0.06,0.173,0,0.65,0,1,0,1.680000000000007
L012218,5A-5,lateral,2.0,117.9,1.8,3.57,0.07,160,200,0.563,0.5,1.13,0.059,0.172,0,0.65,0,1,0,1.44300000000004
L012449,5A-5,lateral,7.0,92.7,6.06,3.57,0.25,160,200,0.487,0.5,0.97,0.107,0.244,0,0.65,0,1,0,0.970000000000027
L012446,5A-5,lateral,1.0,105.2,0.93,3.57,0.04,160,200,0.61,0.5,1.22,0.044,0.142,0,0.65,0,1,0,1.520000000000039
L012435,5A-5,lateral,10.0,74.2,8.62,3.57,0.36,160,200,2.533,0.5,5.07,0.086,0.483,0,0.65,0,1,0,3.389999999999986
L012219,5A-5,lateral,1.0,96.0,0.93,3.57,0.04,160,200,0.561,0.5,1.12,0.044,0.137,0,0.65,0,1,0,1.300000000000011
L012448,5A-5,lateral,6.0,68.7,5.19,3.57,0.21,160,200,0.485,0.5,0.97,0.1,0.232,0,0.65,0,1,0,0.952999999999975
L012120,5A-5,lateral,1.0,78.3,0.91,3.57,0.04,160,200,0.606,0.5,1.21,0.043,0.14,0,0.65,0,1,0,1.366000000000042
L011914,5A-5,lateral,21.0,276.7,18.19,3.57,0.75,160,200,0.62,0.5,1.24,0.169,0.376,0,0.65,0,1,0,3.339999999999975
L011928,5A-5,lateral,33.0,819.3,28.85,3.57,1.19,160,200,0.604,0.5,1.21,0.213,0.429,0,0.65,0,1,0,3.5
L012419,5A-5,lateral,21.0,264.0,18.18,3.57,0.75,160,200,0.616,0.5,1.23,0.17,0.375,0,0.65,0,1,0,3.241000000000042
L012417,5A-5,lateral,16.0,131.6,13.8,3.57,0.57,160,200,0.564,0.5,1.13,0.152,0.334,0,0.65,0,1,0,2.222999999999956
L011911,5A-5,lateral,16.0,149.8,13.81,3.57,0.57,160,200,0.566,0.5,1.13,0.152,0.334,0,0.65,0,1,0,2.45599999999996
L011927,5A-5,lateral,33.0,797.0,28.84,3.57,1.19,160,200,0.602,0.5,1.2,0.213,0.428,0,0.65,0,1,0,3.355000000000018
L011913,5A-5,lateral,20.0,234.0,17.3,3.57,0.71,160,200,0.618,0.5,1.24,0.166,0.37,0,0.65,0,1,0,2.975999999999999
L011912,5A-5,lateral,17.0,182.3,14.69,3.57,0.61,160,200,0.565,0.5,1.13,0.156,0.341,0,0.65,0,1,0,2.730000000000018
L012390,5A-5,lateral,16.0,392.8,13.99,3.57,0.58,160,200,0.38,0.5,0.76,0.168,0.292,0,0.65,0,1,0,1.052999999999997
L012421,5A-5,lateral,33.0,767.1,28.82,3.57,1.19,160,200,0.605,0.5,1.21,0.213,0.429,0,0.65,0,1,0,3.245000000000005
L012106,5A-5,sub_main,5.0,3706.3,6.95,3.57,0.29,160,200,0.316,0.5,0.63,0.126,0.22,0,0.65,0,1,0,4.470000000000027
L012560,5A-5,lateral,4.0,15.3,3.44,3.57,0.14,160,200,0.59,0.5,1.18,0.079,0.217,0,0.65,0,1,0,1.760000000000048
L012549,5A-5,lateral,1.0,78.9,0.91,3.57,0.04,160,200,0.626,0.5,1.25,0.043,0.142,0,0.65,0,1,0,1.144000000000005
L011601,5A-5,lateral,1.0,13.9,0.87,3.57,0.04,160,200,1.224,0.5,2.45,0.036,0.175,0,0.65,0,1,0,1.760000000000048
L011612,5A-5,lateral,9.0,743.5,8.24,3.57,0.34,160,200,0.498,0.5,1.0,0.123,0.272,0,0.65,0,1,0,5.274000000000001
L011602,5A-5,lateral,5.0,65.1,4.33,3.57,0.18,160,200,0.795,0.5,1.59,0.082,0.26,0,0.65,0,1,0,1.165999999999997
L012107,5A-5,sub_main,4.0,3674.6,6.07,3.57,0.25,160,200,0.284,0.5,0.57,0.122,0.203,0,0.65,0,1,0,4.109999999999957
L012559,5A-5,lateral,5.0,100.3,4.35,3.57,0.18,160,200,0.796,0.5,1.59,0.082,0.26,0,0.65,0,1,0,1.73599999999999
L011609,5A-5,lateral,1.0,103.4,0.93,3.57,0.04,160,200,0.624,0.5,1.25,0.043,0.143,0,0.65,0,1,0,1.447000000000003
L011611,5A-5,lateral,9.0,708.2,8.22,3.57,0.34,160,200,0.499,0.5,1.0,0.123,0.272,0,0.65,0,1,0,5.397999999999968
L011784,5A-5,lateral,0.0,30.2,0.02,3.57,0.0,160,200,0.663,0.5,1.33,0.009,0.035,0,0.65,0,1,0,1.220000000000027
L011945,5A-5,lateral,2.0,75.4,1.77,3.57,0.07,160,200,0.206,0.5,0.41,0.075,0.121,0,0.65,0,1,0,1.407999999999959
L012504,5A-5,lateral,9.0,123.3,7.8,3.57,0.32,160,200,1.488,0.5,2.98,0.092,0.39,0,0.65,0,1,0,3.702999999999975
L012139,5A-5,lateral,9.0,151.5,7.82,3.57,0.32,160,200,1.486,0.5,2.97,0.093,0.39,0,0.65,0,1,0,2.831999999999994
L012492,5A-5,lateral,4.0,105.8,3.5,3.57,0.14,160,200,0.208,0.5,0.42,0.102,0.152,0,0.65,0,1,0,1.421000000000049
L012503,5A-5,lateral,9.0,78.0,7.76,3.57,0.32,160,200,1.486,0.5,2.97,0.092,0.389,0,0.65,0,1,0,2.119000000000028
L012500,5A-5,lateral,9.0,191.5,7.85,3.57,0.32,160,200,1.485,0.5,2.97,0.093,0.39,0,0.65,0,1,0,2.075999999999965
L012495,5A-5,lateral,6.0,141.1,5.24,3.57,0.22,160,200,0.204,0.5,0.41,0.123,0.172,0,0.65,0,1,0,0.892999999999972
L012499,5A-5,lateral,9.0,226.2,7.87,3.57,0.33,160,200,1.486,0.5,2.97,0.093,0.391,0,0.65,0,1,0,1.571000000000026
L012494,5A-5,lateral,8.0,176.9,6.98,3.57,0.29,160,200,0.207,0.5,0.41,0.14,0.189,0,0.65,0,1,0,1.016999999999996
L011618,5A-5,lateral,0.0,39.4,0.03,3.57,0.0,160,200,1.09,0.5,2.18,0.009,0.046,0,0.65,0,1,0,1.069999999999993
L012480,5A-5,lateral,9.0,131.7,7.8,3.57,0.32,160,200,0.599,0.5,1.2,0.115,0.285,0,0.65,0,1,0,1.558999999999969
L012563,5A-5,lateral,11.0,278.0,9.62,3.57,0.4,160,200,0.597,0.5,1.19,0.126,0.304,0,0.65,0,1,0,3.45999999999998
L011735,5A-5,sub_main,393.0,8880.4,343.0,3.02,11.97,160,200,0.301,0.5,0.6,,,1,0.65,0,0,0,3.478999999999985
L011770,5A-5,lateral,5.0,559.9,4.69,3.57,0.19,160,200,0.579,0.5,1.16,0.091,0.239,0,0.65,0,1,0,1.939999999999998
L012482,5A-5,lateral,2.0,25.5,1.73,3.57,0.07,160,200,0.589,0.5,1.18,0.058,0.173,0,0.65,0,1,0,0.95999999999998
L011781,5A-5,lateral,6.0,91.5,5.2,3.57,0.21,160,200,0.597,0.5,1.19,0.095,0.25,0,0.65,0,1,0,1.418000000000006
L011616,5A-5,lateral,10.0,250.6,8.75,3.57,0.36,160,200,0.6,0.5,1.2,0.121,0.295,0,0.65,0,1,0,3.295999999999992
L011736,5A-5,sub_main,393.0,8840.6,342.97,3.02,11.97,160,200,0.301,0.5,0.6,,,1,0.65,0,0,0,3.878999999999962
L011769,5A-5,lateral,5.0,531.9,4.67,3.57,0.19,160,200,0.582,0.5,1.16,0.091,0.239,0,0.65,0,1,0,2.208000000000027
L012545,5A-5,lateral,9.0,687.1,8.2,3.57,0.34,160,200,0.498,0.5,1.0,0.123,0.271,0,0.65,0,1,0,5.083000000000027
L012558,5A-5,lateral,5.0,130.4,4.38,3.57,0.18,160,200,0.796,0.5,1.59,0.082,0.261,0,0.65,0,1,0,1.545999999999992
L012108,5A-5,sub_main,0.0,3643.0,2.62,3.57,0.11,160,200,0.314,0.5,0.63,0.081,0.16,0,0.65,0,1,0,3.970000000000027
L012546,5A-5,lateral,9.0,661.8,8.19,3.57,0.34,160,200,0.501,0.5,1.0,0.122,0.272,0,0.65,0,1,0,4.896999999999991
L012551,5A-5,lateral,2.0,134.0,1.81,3.57,0.07,160,200,0.626,0.5,1.25,0.058,0.179,0,0.65,0,1,0,1.819000000000017
L012547,5A-5,lateral,9.0,629.1,8.16,3.57,0.34,160,200,0.501,0.5,1.0,0.122,0.271,0,0.65,0,1,0,4.163000000000011
L011603,5A-5,lateral,5.0,162.2,4.4,3.57,0.18,160,200,0.799,0.5,1.6,0.082,0.261,0,0.65,0,1,0,2.450000000000045
L012564,5A-5,lateral,8.0,190.6,6.99,3.57,0.29,160,200,0.601,0.5,1.2,0.109,0.275,0,0.65,0,1,0,2.697000000000003
L012544,5A-5,lateral,9.0,599.5,8.14,3.57,0.34,160,200,0.499,0.5,1.0,0.122,0.271,0,0.65,0,1,0,4.115000000000009
L012109,5A-5,sub_main,0.0,3608.0,2.6,3.57,0.11,160,200,0.427,0.5,0.85,0.075,0.177,0,0.65,0,1,0,3.300000000000011
L011780,5A-5,lateral,2.0,26.2,1.73,3.57,0.07,160,200,0.612,0.5,1.22,0.057,0.175,0,0.65,0,1,0,1.310000000000002
L011615,5A-5,lateral,8.0,219.6,7.01,3.57,0.29,160,200,0.597,0.5,1.19,0.109,0.275,0,0.65,0,1,0,2.009999999999991
L011737,5A-5,sub_main,393.0,8803.4,342.94,3.02,11.97,160,200,0.302,0.5,0.6,,,1,0.65,0,0,0,3.597000000000037
L011816,5A-5,lateral,4.0,142.3,3.53,3.57,0.15,160,200,1.448,0.5,2.9,0.065,0.298,0,0.65,0,1,0,1.0
L011768,5A-5,lateral,0.0,364.1,0.26,3.57,0.01,160,200,0.605,0.5,1.21,0.025,0.09,0,0.65,0,1,0,1.970000000000027
L011738,5A-5,sub_main,393.0,8769.3,342.92,3.02,11.97,160,200,0.301,0.5,0.6,,,1,0.65,0,0,0,3.593999999999994
L012569,5A-5,lateral,3.0,103.9,2.64,3.57,0.11,160,200,1.445,0.5,2.89,0.057,0.27,0,0.65,0,1,0,1.183999999999969
L011739,5A-5,sub_main,393.0,8738.3,342.9,3.02,11.97,160,200,0.301,0.5,0.6,,,1,0.65,0,0,0,0.591000000000008
L011767,5A-5,lateral,0.0,325.9,0.23,3.57,0.01,160,200,0.604,0.5,1.21,0.024,0.087,0,0.65,0,1,0,1.999000000000024
L012571,5A-5,lateral,3.0,68.1,2.62,3.57,0.11,160,200,1.448,0.5,2.9,0.057,0.27,0,0.65,0,1,0,1.506000000000029
L012550,5A-5,lateral,2.0,158.1,1.83,3.57,0.08,160,200,0.628,0.5,1.26,0.058,0.18,0,0.65,0,1,0,2.160000000000025
L011610,5A-5,lateral,9.0,575.1,8.12,3.57,0.34,160,200,0.498,0.5,1.0,0.122,0.27,0,0.65,0,1,0,3.923000000000002
L012565,5A-5,lateral,7.0,153.8,6.11,3.57,0.25,160,200,0.596,0.5,1.19,0.102,0.263,0,0.65,0,1,0,2.185999999999979
L012566,5A-5,lateral,7.0,128.9,6.09,3.57,0.25,160,200,0.599,0.5,1.2,0.102,0.263,0,0.65,0,1,0,1.966999999999985
L011645,5A-5,sub_main,0.0,3579.8,2.58,3.57,0.11,160,200,0.3,0.5,0.6,0.081,0.156,0,0.65,0,1,0,3.20999999999998
L012557,5A-5,lateral,6.0,200.9,5.28,3.57,0.22,160,200,0.795,0.5,1.59,0.09,0.277,0,0.65,0,1,0,1.936999999999955
L012552,5A-5,lateral,7.0,394.3,6.28,3.57,0.26,160,200,0.5,0.5,1.0,0.108,0.249,0,0.65,0,1,0,3.860000000000014
L012567,5A-5,lateral,7.0,99.8,6.07,3.57,0.25,160,200,0.601,0.5,1.2,0.102,0.263,0,0.65,0,1,0,1.802999999999997
L011644,5A-5,sub_main,0.0,3543.2,2.55,3.57,0.11,160,200,0.31,0.5,0.62,0.08,0.158,0,0.65,0,1,0,3.199999999999989
L011613,5A-5,lateral,0.0,17.7,0.01,3.57,0.0,160,200,1.415,0.5,2.83,0.006,0.036,0,0.65,0,1,0,1.220000000000027
L012498,5A-5,lateral,9.0,261.1,7.9,3.57,0.33,160,200,1.487,0.5,2.97,0.093,0.391,0,0.65,0,1,0,1.28000000000003
L012493,5A-5,lateral,9.0,207.2,7.86,3.57,0.32,160,200,0.207,0.5,0.41,0.148,0.197,0,0.65,0,1,0,1.169999999999959
L011946,5A-5,lateral,1.0,21.5,0.87,3.57,0.04,160,200,1.257,0.5,2.51,0.036,0.177,0,0.65,0,1,0,1.169999999999959
L011740,5A-5,sub_main,393.0,8703.8,342.87,3.02,11.97,160,200,0.302,0.5,0.6,,,1,0.65,0,0,0,3.87700000000001
L012496,5A-5,lateral,10.0,273.3,8.76,3.57,0.36,160,200,0.471,0.5,0.94,0.128,0.272,0,0.65,0,1,0,2.129999999999995
L012501,5A-5,lateral,0.0,100.4,0.07,3.57,0.0,160,200,0.578,0.5,1.16,0.015,0.055,0,0.65,0,1,0,1.180000000000007
L012719,5A-5,lateral,10.0,394.2,8.85,3.57,0.37,160,200,0.723,0.5,1.45,0.116,0.316,0,0.65,0,1,0,1.536000000000001
L012497,5A-5,lateral,10.0,407.2,8.86,3.57,0.37,160,200,0.721,0.5,1.44,0.116,0.316,0,0.65,0,1,0,1.480000000000018
L012724,5A-5,sub_main,393.0,8668.4,342.85,3.02,11.97,160,200,0.302,0.5,0.6,,,1,0.65,0,0,0,3.930000000000007
L012502,5A-5,lateral,0.0,62.0,0.04,3.57,0.0,160,200,0.577,0.5,1.15,0.012,0.045,0,0.65,0,1,0,1.048000000000002
L011614,5A-5,lateral,2.0,71.5,1.76,3.57,0.07,160,200,0.598,0.5,1.2,0.058,0.175,0,0.65,0,1,0,1.492999999999995
L012556,5A-5,lateral,6.0,235.1,5.31,3.57,0.22,160,200,0.798,0.5,1.6,0.09,0.278,0,0.65,0,1,0,2.980000000000018
L012568,5A-5,lateral,1.0,23.2,0.87,3.57,0.04,160,200,0.602,0.5,1.2,0.042,0.138,0,0.65,0,1,0,1.120000000000005
L011619,5A-5,lateral,6.0,357.9,5.4,3.57,0.22,160,200,0.499,0.5,1.0,0.101,0.237,0,0.65,0,1,0,3.728000000000009
L011643,5A-5,sub_main,0.0,3504.5,2.52,3.57,0.1,160,200,0.294,0.5,0.59,0.081,0.154,0,0.65,0,1,0,3.20999999999998
L011642,5A-5,sub_main,0.0,3470.5,2.5,3.57,0.1,160,200,0.296,0.5,0.59,0.08,0.154,0,0.65,0,1,0,3.139999999999986
L012553,5A-5,lateral,6.0,324.8,5.37,3.57,0.22,160,200,0.498,0.5,1.0,0.101,0.237,0,0.65,0,1,0,3.212999999999965
L012555,5A-5,lateral,6.0,264.0,5.33,3.57,0.22,160,200,0.159,0.5,0.32,0.132,0.159,0,0.65,0,1,0,3.305999999999983
L012554,5A-5,lateral,6.0,298.3,5.35,3.57,0.22,160,200,0.157,0.5,0.31,0.132,0.158,0,0.65,0,1,0,3.39100000000002
L011641,5A-5,sub_main,0.0,3443.4,2.48,3.57,0.1,160,200,0.289,0.5,0.58,0.08,0.152,0,0.65,0,1,0,3.420000000000016
L011947,5A-5,lateral,20.0,720.8,17.65,3.57,0.73,160,200,0.52,0.5,1.04,0.174,0.35,0,0.65,0,1,0,2.330000000000041
